Name,Order Form,VIN Log,Filter Out,Order Form ID,VIN Log ID,Pipedrive ORG ID
Rusty Drewing Chevrolet Buick GMC,https://docs.google.com/spreadsheets/d/129bz1AMoj2ZwJ45wllOxc6tPSS2ItxNcpY43FUpOJDs/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1vFvqAuVxh8X3vmrZw1fYWVzTLa2SuzqTSENF2QH8RkM/edit?gid=0#gid=0,"In-Transit, Missing Stock #, Used",129bz1AMoj2ZwJ45wllOxc6tPSS2ItxNcpY43FUpOJDs,1vFvqAuVxh8X3vmrZw1fYWVzTLa2SuzqTSENF2QH8RkM,
Serra Honda O'Fallon,https://docs.google.com/spreadsheets/d/1Qu4U8hcLIUGLMBGsPJOyRJFem3E8oRk2nPPzy5CH6QA/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1mU1roZRgYpQsHffJtGD7NHeGf61Tdet-AduAETTFOkc/edit?gid=0#gid=0,"In-Transit, Missing Stock #",1Qu4U8hcLIUGLMBGsPJOyRJFem3E8oRk2nPPzy5CH6QA,1mU1roZRgYpQsHffJtGD7NHeGf61Tdet-AduAETTFOkc,
South County DCJR - READ NOTES,https://docs.google.com/spreadsheets/d/1SvQ7m8DlblsuFNyB7LNI9OjjxVhI2MKnffsNqmvoo7U/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1dmmT2pYt2FG1ekvtnUtwncBBPOFgoi-dDYCelCeWDZc/edit?gid=0#gid=0,"In-Transit, Missing Stock #",1SvQ7m8DlblsuFNyB7LNI9OjjxVhI2MKnffsNqmvoo7U,1dmmT2pYt2FG1ekvtnUtwncBBPOFgoi-dDYCelCeWDZc,
Spirit Lexus,,https://docs.google.com/spreadsheets/d/1bTNSWPiOjmdsLUwJGjwyV2K1lHz_oOreF0GFrWUzi1I/edit?gid=0#gid=0,"Missing Stock #, New",,,
Suntrup Buick GMC NEW,https://docs.google.com/spreadsheets/d/1IHzSAhdYfB4mS6HigUbE2C-xVUz4Czk5DZVw0mt9k-8/edit?gid=788639086#gid=788639086,https://docs.google.com/spreadsheets/d/1fqg6mdv6Gk3kBBwSDpbUp6NoqDyL3THv7Z9C_KxQK_Y/edit?gid=0#gid=0,"In-Transit, Missing Stock #, Used",1IHzSAhdYfB4mS6HigUbE2C-xVUz4Czk5DZVw0mt9k-8,1fqg6mdv6Gk3kBBwSDpbUp6NoqDyL3THv7Z9C_KxQK_Y,
Suntrup Buick GMC USED,https://docs.google.com/spreadsheets/d/1BCLQ_VAa2MGMuphMYCpyF8S6pl1D5Cay_eINrp1T_uc/edit?gid=760616013#gid=760616013,https://docs.google.com/spreadsheets/d/1fqg6mdv6Gk3kBBwSDpbUp6NoqDyL3THv7Z9C_KxQK_Y/edit?gid=0#gid=0,"Missing Stock #, New",1BCLQ_VAa2MGMuphMYCpyF8S6pl1D5Cay_eINrp1T_uc,1fqg6mdv6Gk3kBBwSDpbUp6NoqDyL3THv7Z9C_KxQK_Y,
Suntrup Ford Kirkwood,,,"Missing Stock #, New",,,
Suntrup Ford Westport,,,"Missing Stock #, New",,,
Suntrup Hyundai South,,https://docs.google.com/spreadsheets/d/14MEIbVOd_iOjSYEaCDwM_FuvNPjgotpCctH7t8LNaRY/edit?gid=0#gid=0,"In-Transit, Missing Stock #",,,
Suntrup Kia South,https://docs.google.com/spreadsheets/d/1PBLPLB9GLwu4oChgZVhEO2R_4tqqrCGSlbalDYSMdDo/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1bLdTt2-vuDdr0riaWGMNJXeNuRYeAqVDy9Zs4yrRGhg/edit?gid=0#gid=0,"In-Transit, Missing Stock #",1PBLPLB9GLwu4oChgZVhEO2R_4tqqrCGSlbalDYSMdDo,1bLdTt2-vuDdr0riaWGMNJXeNuRYeAqVDy9Zs4yrRGhg,
Thoroughbred Ford,https://docs.google.com/spreadsheets/d/1kVVHujhUV2vIbeWAgusURlRC8BjFEfc5rfvaWmpp4Vc/edit?gid=54925382#gid=54925382,https://docs.google.com/spreadsheets/d/1eqJt4KfHZv4bwkYet5E3Nx_STJ1gDnvWsJtPTHQQUG4/edit?gid=0#gid=0,"Missing Stock #, New",1kVVHujhUV2vIbeWAgusURlRC8BjFEfc5rfvaWmpp4Vc,1eqJt4KfHZv4bwkYet5E3Nx_STJ1gDnvWsJtPTHQQUG4,
Volvo Cars West County,https://docs.google.com/spreadsheets/d/1tKK82T4syDAUS587p_veRD8YJZXVxVGqJbtcYKBgWOM/edit?gid=788639086#gid=788639086,https://docs.google.com/spreadsheets/d/1gQVhUQS_ACxFQMZ5jqqP_CXyxj6-DPK3iorYi_aCGQU/edit?gid=0#gid=0,"In-Transit, Missing Stock #, Used",1tKK82T4syDAUS587p_veRD8YJZXVxVGqJbtcYKBgWOM,1gQVhUQS_ACxFQMZ5jqqP_CXyxj6-DPK3iorYi_aCGQU,
Weber Chevrolet,,,"Missing Stock #, New",,,
